id,title,description,term,department,level,sections,instructors,seats,open_seats,filled_seats,syllabus_count
AMST450,Seminar in American Studies,"Prerequisite: AMST201 and AMST340; and 1 course in AMST.
Restriction: Senior standing; and must be in American Studies program.",202501,American Studies,Undergrad,1,Jamila Moore-Pewu,15,15,0,1
AMST260,American Culture in the Information Age,"Credit only granted for: AMST260 or AMST298I.
Formerly: AMST298I.",202501,American Studies,Undergrad,1,Jason Farman,60,60,0,0
AMST628P,Seminar in American Studies; Race Sex Power in the City,"This class looks at how the social construction of the so-called normal has shaped academic and professionalized approaches to the U.S. city, and how social collectives have organized in response. Although interdisciplinary, the class focuses on the history of the entwined regulation of race, gender, and sexuality throughout the twentieth century, and is anchored in the literature of African American, queer, and urban studies.",202501,American Studies,Grad,1,Christina Hanhardt,20,20,0,0
AMST324,Growing Up Asian American: The Asian Immigrant Family and the Second Generation,"Cross-listed with: AAST394, IMMR394.
Credit only granted for: AAST394, AAST398E, AMST324, AMST328V, IMMR319G or IMMR394.
Formerly: AAST398E.",202501,American Studies,Undergrad,1,Joan Hong,30,30,0,0
AMST628D,Seminar in American Studies; Black Digitalities,Cross-listed with ENGL739A. Credit only granted for ENGL739A or AMST628D.,202501,American Studies,Grad,1,Marisa Parham,11,11,0,1
AMST298Q,U.S. Latinx Literature and Culture,"Cross-listed with: ENGL235.
Credit only granted for: ENGL235 or AMST298Q.",202501,American Studies,Undergrad,1,Instructor: TBA,30,30,0,0
AMST386,Experiential Learning,Restriction: Permission of ARHU-American Studies department; and junior standing or higher.,202501,American Studies,Undergrad,1,Asim Ali,5,5,0,0
AMST629N,Seminar in American Studies; The Devil in the Archive: Ethno-demonology and the Origins of Native Literatures in the Americas,Cross-listed with ENGL748E. Credit only granted for ENGL748E or AMST629N.,202501,American Studies,Grad,1,Ralph Bauer,11,11,0,0
AMST878C,American Studies Pedagogy Mentoring; Mentoring for Third Year Teaching in American Studies,,202501,American Studies,Grad,1,Bayley Marquez,5,5,0,0
AMST498F,Special Topics in American Studies; History of Black Education in America,"Cross-listed with HIST339K and AASP398K. Credit only granted for HIST339K, AASP398K, or AMST498F.

Explores the development of formal education created by and for African Americans, from the antebellum era through the twenty-first century. Examine the historical roots of recent debates around race, justice, and equity in American schools.",202501,American Studies,Undergrad,1,Leigh Soares,27,27,0,0
AMST899,Doctoral Dissertation Research,,202501,American Studies,Grad,0,,0,0,0,0
AMST698,Directed Readings in American Studies,,202501,American Studies,Grad,0,,0,0,0,0
AMST298C,Introduction to Asian American Studies,"Cross-listed with: AAST200.
Credit only granted for: AAST200 or AMST298C.",202501,American Studies,Undergrad,1,Jennifer Cho,40,40,0,0
AMST498J,Asian American Politics,"Cross-listed with: AAST443, GVPT368C.
Credit only granted for: AAST498T, AAST443, GVPT368C or AMST 498J.
Formerly: AAST498T.",202501,American Studies,Undergrad,1,Janelle Wong,30,30,0,0
AMST856,Museum Research Seminar,"Prerequisite: AMST655, ANTH655, or HIST610.
Cross-listed with: ANTH856, HIST810, INST786.
Credit only granted for: AMST856, ANTH856, HIST810, INST728U or INST786.",202501,American Studies,Grad,1,Jamila Moore-Pewu,15,15,0,0
AMST857,Museum Scholarship Practicum,"Prerequisite: AMST856, ANTH856, or HIST810.
Restriction: Permission of Museum Scholarship Program required.
Cross-listed with: ANTH857, HIST811, INST787.
Credit only granted for: AMST857, ANTH857, HIST811, INST728I or INST787.",202501,American Studies,Grad,1,Paul Jaeger,12,12,0,0
AMST210,Introduction to Ethnography,"A qualitative research method course used to study social worlds communities, cultures, institutions, and other social groups from the perspectives of the people who inhabit those social worlds. Ethnographic research involves understanding cultural traditions from an insider's perspective by studying the everyday lives of people steeped in those traditions.",202501,American Studies,Undergrad,1,Asim Ali,25,25,0,1
AMST328T,Perspectives on Identity and Culture; Maryland's Ethnic Foodways,"Cross-listed with HIST338B. Credit only granted for HIST338B or AMST328T.

Immerses students in Maryland's ethnic and immigrant communities through food and migration studies. Students will learn about Maryland's historic ethnic communities, migration dynamics, and contemporary immigrant communities through the analytical lenses of food, ethnic studies, and entrepreneurship. Emphasizing campus to community connections, students will conduct research in teams on ethnic food businesses in Maryland, resulting in final projects suitable for inclusion in the digital archive, Maryland's Ethnic Foodways.",202501,American Studies,Undergrad,1,Madeline Hsu,22,22,0,0
AMST898,Pre-Candidacy Research,,202501,American Studies,Grad,0,,0,0,0,0
AMST498G,Special Topics in American Studies; Latina/os on the Silver Screen,"Cross-listed with USLT498A. Credit only granted for USLT498A,USLT420, or AMST498G.

Combining media theory and film history, this course considers the film industry s representation of Latines from the silent era to the present day. To begin, we examine mainstream images created by white Hollywood filmmakers during the twentieth century; the latter part of the course turns attention to self-representations in more recent cinema created by Latine cultural producers.",202501,American Studies,Undergrad,1,Robert Chester,25,25,0,0
ENCE688Y,Advanced Topics in Civil Engineering; Research Methods Seminar,"Intended for PhD and MSc students engaged in or contemplating dissertation or thesis research. It is strongly recommended for PhD candidates to develop their research topic and build strong research capability. The course provides a sound understanding of the enterprise of engineering research, from selecting a thesis topic, to the development of a research proposal, to planning and executing a research plan, to writing a dissertation and publishable articles. Students will review published research reports, conduct a literature survey, and write a preliminary research proposal. Students will carry out assignments involving design of small experiments, and learn how to statistically analyze data and report results. The course comprises lectures from PM faculty and guest lecturers.

See instructor for details pertaining to in-person class meetings.",202501,"Engineering, Civil",Grad,1,Qingbin Cui; Gregory Baecher,25,25,0,0
ENCE664,Legal Aspects of Engineering Design and Construction,"Examines ways in which the legal system affects the design and construction process. Focuses on contract types and the relationships between the parties in different delivery systems. Covers basics of procurement protocols along with negotiating techniques and strategies. Topics include contract law, the relationships between the parties, tort and negligence law, and the statutory principles affecting construction.",202501,"Engineering, Civil",Grad,2,Thomas Powell; Thomas Barham; Mark Groff,79,79,0,0
ENCE799,Master's Thesis Research,Majors only. Other majors require permission of department.,202501,"Engineering, Civil",Grad,0,,0,0,0,0
ENCE424,Communication for Project Managers,"Prerequisite: Permission of ENGR-Civil & Environmental Engineering department.
Restriction: Must be in a major in ENGR-A. James Clark School of Engineering; or must be in the Construction Project Management minor; or must be in the Project Management minor.
Jointly offered with: ENCE614.
Credit only granted for: ENCE424 or ENCE614.",202501,"Engineering, Civil",Undergrad,1,Shana Webster-Trotman,25,25,0,2
ENCE489X,Special Problems in Civil Engineering; Statistical and Machine Learning Models for Natural Hazards Prediction,Cross-listed with ENCE689X. Credit only granted for ENCE489X or ENCE689X.,202501,"Engineering, Civil",Undergrad,1,Michelle Bensi,15,15,0,0
ENCE412,Environmental Engineering Unit Operations,Prerequisite: ENCE305 and ENCE310; and permission of ENGR-Civil & Environmental Engineering department.,202501,"Engineering, Civil",Undergrad,1,Allen Davis,40,40,0,1
ENCE489T,"Special Problems in Civil Engineering; Transportation Engineering, Economics, and Policy","Prerequisite: ENCE201, PHYS260, and PHYS261;

The transportation system moves people and goods around the world, but transportation has downsides: harming local air quality, contributing to climate change, causing traffic accidents, and wasting people's time on congested roads. Mitigating these downsides will require new policies, new technologies, and new decisions by households and businesses. Focusing on the US transportation system, students will apply an integrated economics, policy, and engineering perspective to analyze transportation's most pressing challenges. Students are expected to have some background in one of the three disciplines--economics, engineering, or policy--but not all three. The beginning of the semester will include tutorials for students without much economics or engineering background.",202501,"Engineering, Civil",Undergrad,1,Cinzia Cirillo,40,40,0,0
ENCE310,Introduction to Environmental Engineering,Prerequisite: PHYS260 and ENCE215; and permission of ENGR-Civil & Environmental Engineering department.,202501,"Engineering, Civil",Undergrad,1,Guangbin Li,25,25,0,2
ENCE604,Sustainabilty Fundamentals for Project Managers,"Addresses the fundamentals of sustainability for project managers including best practices of modern sustainable construction and project management. Commercial and residential buildings consume about 40 percent of the energy used in the United States. The course therefore emphasizes the application of the sustainable development goals to the built environment, including the practical operational aspects of sustainable facility project management and sustainable construction by contractors. The course also will cover the fundamental concepts of sustainable project development and the move towards economic prosperity, environmental protection, and social equity, taking all three dimensions into account to achieve sustainability. Project managers need to take responsibility for more sustainable development of organizations, facilities, and projects.",202501,"Engineering, Civil",Grad,1,Neil Schulman,30,30,0,1
ENCE741,Earth Retaining Structures,"Introduction to types and uses of earth retaining structures, and lateral earth pressure concepts and theories. Analysis and design of retaining walls and shoring structures and their bracing systems. These include conventional retaining walls, mechanically stabilized earth walls, cantilever and anchored sheet piling, cellular cofferdams, braced cuts, soil nailing, and the design of tiebacks and anchors. Load and resistance factor design concept will be presented.",202501,"Engineering, Civil",Grad,1,Mohamed Aggour,15,15,0,1
ENCE215,Engineering for Sustainability,Prerequisite: CHEM135; or students who have taken courses with comparable content may contact the department; and permission of ENGR-Civil & Environmental Engineering Department.,202501,"Engineering, Civil",Undergrad,3,Natasha Almeida e Andrade,72,72,0,4
ENCE645,Geotechnics of Waste Disposal,"Credit only granted for: ENCE489X, ENCE645, or ENCE688X.
Formerly: ENCE688X.",202501,"Engineering, Civil",Grad,1,Ahmet Aydilek,15,15,0,0
ENCE444,Experimental Methods in Geotechnical Structural Engineering,Prerequisite: ENCE353 and ENCE340; and permission of ENGR-Civil & Environmental Engineering department.,202501,"Engineering, Civil",Undergrad,2,Jongwan Eun; Yunfeng Zhang,40,40,0,0
ENCE688M,Advanced Topics in Civil Engineering; Theory-Guided Machine Learning,"Prerequisite: An introductory course in Machine Learning/Data Science, probability or statistics will be beneficial.",202501,"Engineering, Civil",Grad,1,Nii O Attoh-Okine,15,15,0,0
ENCE472,Transportation Engineering,Prerequisite: ENCE302 and ENCE370; and permission of ENGR-Civil & Environmental Engineering department.,202501,"Engineering, Civil",Undergrad,1,Paul Schonfeld,35,35,0,0
ENCE632,Introduction to Infrastructure and Resilience,"Prerequisite: ENCE302; and ENCE360. Or students who have taken courses with comparable content may contact the department.
Credit only granted for: ENCE688U, ENCE632, ENCE489U or ENCE430.
Formerly: ENCE688U.",202501,"Engineering, Civil",Grad,1,Allison Reilly,20,20,0,0
ENCE370,Introduction to Transportation Engineering and Planning,"Prerequisite: ENCE201, PHYS260, and PHYS261; and permission of ENGR-Civil & Environmental Engineering department.",202501,"Engineering, Civil",Undergrad,1,Terry Yang,48,48,0,1
ENCE665,Management of Project Teams,"Experience has shown that really excellent project managers are not only technically competent but that they have above average skills in human relations and communications. The course will prepare project managers to optimize the utilization of their most important resource: people. Relying primarily on a wide range of research and experience in the Project Team, this course will help guide project managers in building the other skills needed to be truly successful in the competitive Project Team.",202501,"Engineering, Civil",Grad,1,Jocelyn Davis,25,25,0,0
ENCE402,Simulation and Design of Experiments for Engineers,Prerequisite: ENCE302; and permission of ENGR-Civil & Environmental Engineering department.,202501,"Engineering, Civil",Undergrad,1,David Lovell,40,40,0,0
ENCE455,Design of Steel Structures,Prerequisite: ENCE353; and permission of ENGR-Civil & Environmental Engineering department.,202501,"Engineering, Civil",Undergrad,1,Peter Chang,25,25,0,1
ENCE300,Fundamentals of Engineering Materials,Prerequisite: ENES220; and permission of ENGR-Civil & Environmental Engineering department.,202501,"Engineering, Civil",Undergrad,2,Dimitrios Goulias,36,36,0,0
ENCE688F,Advanced Topics in Civil Engineering; Teaching and Learning Practicum,,202501,"Engineering, Civil",Grad,1,Guangbin Li; Alba Torrents Capdevila; Birthe Kjellerup Shirtliff; Allen Davis,15,15,0,0
ENCE623,Introduction to Advanced Scheduling,"Prerequisite: ENCE423 or ENCE662.
Credit only granted for: ENCE623 or ENCE688S.",202501,"Engineering, Civil",Grad,1,Kenneth O'Connell,25,25,0,0
ENCE674,Urban Transit Planning and Rail Transportation Engineering,"Basic engineering components of conventional and high speed railroads and of air cushion and other high speed new technology. The study of urban rail and bus transit. The characteristics of the vehicle, the supporting way, and the terminal requirements will be evaluated with respect to system performance, capacity, cost, and level of service.",202501,"Engineering, Civil",Grad,1,Instructor: TBA,25,25,0,0
ENCE662,Introduction to Project Management,"Introduction to project management including: overview and concepts of project management (principles, body of knowledge, strategies); planning successful projects (defining, specifying, delivery options, scheduling, budgeting); implementing (organizing the team, work assignments, team building, effective leadership); executing (performance measurement, maintaining the schedule, adjustments/mid-course corrections, record keeping, status reporting, communications, managing conflict, time management); and closeout(performance measurement, maintaining the schedule, adjustments/mid-course corrections, record keeping, status reporting, communications, managing conflict, time management).",202501,"Engineering, Civil",Grad,1,Gregory Baecher,35,35,0,3
ENCE320,Introduction to Project Management,"Prerequisite: Permission of ENGR-Civil & Environmental Engineering department.
Restriction: Must be in a major in ENGR-A James Clark School of Engineering.
Credit only granted for: BMGT485, ENCE320, ENCE325, INST408O or INST453.",202501,"Engineering, Civil",Undergrad,1,John Johnson,60,60,0,2
ENCE422,Project Cost Accounting and Economics,"Prerequisite: Permission of ENGR-Civil & Environmental Engineering department.
Restriction: Must be in a major in ENGR-A. James Clark School of Engineering; or must be in the Construction Project Management Minor; or must be in the Project Management Minor.",202501,"Engineering, Civil",Undergrad,1,Qingbin Cui,75,75,0,1
ENCE688K,Advanced Topics in Civil Engineering; Flow in Open Channels and Conveyance Structures,,202501,"Engineering, Civil",Grad,1,Kaye Brubaker,15,15,0,2
ENCE423,"Project Planning, Estimating & Scheduling",Restriction: Must be in a major in ENGR-A. James Clark School of Engineering; or must be in the Construction Project Management Minor; or must be in the Project Management Minor. And permission of ENGR-Civil & Environmental Engineering department.,202501,"Engineering, Civil",Undergrad,1,Kenneth O'Connell,40,40,0,0
ENCE689X,Seminar; Statistical and Machine Learning Models for Natural Hazards Prediction,"Cross-listed with ENCE489X. Credit only granted for ENCE489X or ENCE689X. Infrastructure and other engineered systems are exposed to a variety of natural hazards, such as precipitation, high winds, storm surge, and earthquake-induced ground shaking. Assessment of the risks these hazards pose to engineered systems often involves the development of models to predict hazard severity. While hazard severity prediction models may involve a range of techniques, this course centers on prediction models that involve statistical and machine-learning approaches. Specifically, this course will focus on the practical application of statistical and machine learning regression models, including data processing, model specification, model development, and model assessment within the context of natural hazard predictions. Models selected for consideration in this course (e.g., linear/non-linear models, tree-based approaches, neural networks,and Gaussian process regression) are informed by present-day practices for multiple types of natural hazards.",202501,"Engineering, Civil",Grad,1,Michelle Bensi,15,15,0,0
ENCE360,Analysis of Civil Engineering Systems,Prerequisite: ENCE201 and MATH140; and permission of ENGR-Civil & Environmental Engineering department.,202501,"Engineering, Civil",Undergrad,1,Sara Zahedian,36,36,0,0
ENCE489J,Special Problems in Civil Engineering; Green Global Challenge,"Prerequisite: PHYS161.

This course provides a unique opportunity to explore the grand engineering challenges facing our planet through the lens of the UN Sustainable Development Goals. Students will engage on interdisciplinary teams to design solutions to address these challenges. The experience will culminate in submitting projects to and participation in the Green Challenge at t he Danish Technical University (DTU) in Denmark in June. Students from all engineering disciplines and students from other STEM disciplines, who are excited to explore interdisciplinary solutions to the world s chall enges are encouraged to apply.",202501,"Engineering, Civil",Undergrad,1,Birthe Kjellerup Shirtliff,20,20,0,0
ENCE340,Fundamentals of Geotechnical Engineering,Prerequisite: ENES220; and permission of ENGR-Civil & Environmental Engineering department.,202501,"Engineering, Civil",Undergrad,1,Jongwan Eun,40,40,0,1
ENCE602,Project Procurement Management,"Fundamental concepts and techniques for project acquisition and procurement are presented. Students are introduced to the PMBOK Guide six-step procurement process and expected to develop an in-depth understanding of project evaluation, planning, financing, contracting, negotiation, and procurement execution. It will also cover emerging methods, principles, and practices in infrastructure project procurement, including Public-Private Partnerships, Carbon project procurement, and Clean Development Mechanism.",202501,"Engineering, Civil",Grad,1,Qingbin Cui,26,26,0,1
ENCE614,Communications for Project Managers,"Restriction: Must be enrolled in the A. James Clark School of Engineering or the School of Architecture.
Jointly offered with: ENCE424.
Credit only granted for: ENCE424 or ENCE614.",202501,"Engineering, Civil",Grad,1,Shana Webster-Trotman,5,5,0,0
ENCE100,Introduction to Civil and Environmental Engineering,"An overview of the department of Civil and Environment Engineering. Students are introduced to the undergraduate curriculum and will be exposed to other undergraduate and graduate students at various points in their program. The course blends panel presentations by seniors and graduate students, faculty and practitioners with a project and book review to be performed by the students.",202501,"Engineering, Civil",Undergrad,1,Natasha Almeida e Andrade,100,100,0,1
ENCE302,Probability and Statistics for Civil and Environmental Engineers,Prerequisite: MATH246 and ENCE201; and permission of ENGR-Civil & Environmental Engineering department.,202501,"Engineering, Civil",Undergrad,1,Bilal Ayyub,40,40,0,2
ENCE898,Pre-Candidacy Research,,202501,"Engineering, Civil",Grad,0,,0,0,0,0
ENCE677,OR Models for Transportation Systems Analysis,"Fundamental skills and concepts of the quantitative techniques of operations research including: mathematical modeling, linear programming, integer programming, network optimization (shortest paths, minimum spanning trees, minimum cost network flows, maximum flows), heuristics, and basics of probabilistic modeling. Emphasis on the application of these techniques to problems arising in transportation.",202501,"Engineering, Civil",Grad,1,Sara Zahedian,20,20,0,0
ENCE421,Legal Aspects of Architectural and Engineering Practice,Restriction: Must be in a major in ENGR-A. James Clark School of Engineering; or must be in the Construction Project Management minor; or must be in the Project Management Minor. And permission of ENGR-Civil & Environmental Engineering department.,202501,"Engineering, Civil",Undergrad,1,Miroslaw Skibniewski,25,25,0,0
ENCE899,Doctoral Dissertation Research,Majors only. Other majors require permission of department.,202501,"Engineering, Civil",Grad,0,,0,0,0,0
ENCE641,Advanced Foundations Systems,Prerequisite: ENCE340; or students who have taken courses with comparable content may contact the department.,202501,"Engineering, Civil",Grad,1,Instructor: TBA,25,25,0,0
ENCE688E,Advanced Topics in Civil Engineering; Bioremediation,,202501,"Engineering, Civil",Grad,1,Guangbin Li,15,15,0,0
ENCE430,Introduction to Infrastructure and Resilience,"Prerequisite: ENCE302; or students who have taken courses with comparable content may contact the department.
Corequisite: ENCE360; or students who have taken courses with comparable content may contact the department.
Jointly offered with ENCE632.
Credit only granted for: ENCE632, ENCE688U, ENCE430 or ENCE489U.
Formerly: ENCE489U.",202501,"Engineering, Civil",Undergrad,1,Allison Reilly,20,20,0,0
ENCE467,Civil and Environmental Engineering Design II,"Prerequisite: ENCE465; and must have completed or be concurrently enrolled in ENCE302 and ENCE305.
Restriction: Permission of the ENGR-Civil & Environmental Engineering Department.",202501,"Engineering, Civil",Undergrad,1,Deb Niemeier,120,120,0,0
ENCE426,Construction Documentation and BIM Applications in Engineering and Construction,"Prerequisite: Permission of ENGR-Civil & Environmental Engineering department.
Restriction: Must be in a major in ENGR-A. James Clark School of Engineering; or must be in the Construction Project Management Minor; or must be in the Project Management Minor.",202501,"Engineering, Civil",Undergrad,2,Kiley Wilfong Cullen,80,80,0,1
ENCE689,Seminar,Majors only. Other majors require permission of department.,202501,"Engineering, Civil",Grad,0,,0,0,0,4
ENCE627,Project Risk Management,Restriction: Must not have completed ENCE627.,202501,"Engineering, Civil",Grad,1,Gregory Baecher,30,30,0,1
ENCE200,Civil Engineering Graphics for Design and Construction,"Prerequisite: ENES100, MATH141, and ENES102; and permission of ENGR-Civil & Environmental Engineering department.",202501,"Engineering, Civil",Undergrad,1,Frank White,40,40,0,0
ENCE607,Mastering Agile Project Management,"Learn how and why Agile project management is the fastest growing and most successful project management philosophy today. Learn the mechanics of how to design and facilitate projects using pure Agile Scrum and Lean Kanban techniques; The tradeoffs of using hybrid techniques such as Lean Startup, Scaled Agile for the Enterprise, and Disciplined Agile Development. Then go beyond these frameworks to the science beneath with the essential principles to ensure you get the best benefits of Agile project management methods.",202501,"Engineering, Civil",Grad,1,John Johnson,25,25,0,0
